year,month,fuel,energy_gw
2022,December,SOLAR,19.08
2022,December,BIOFUEL,20.81
2023,January,NUCLEAR,7287.64
2023,January,GAS,1396.79
2023,January,HYDRO,3596.95
2023,January,WIND,1074.24
2023,January,SOLAR,17.49
2023,January,BIOFUEL,32.64
2023,February,NUCLEAR,6428.02
2023,February,GAS,961.79
2023,February,HYDRO,3086.89
2023,February,WIND,1445.69
2023,February,SOLAR,40.9
2023,February,BIOFUEL,34.51
2023,March,NUCLEAR,6262.34
2023,March,GAS,939.92
2023,March,HYDRO,3159.64
2023,March,WIND,1476.18
2023,March,SOLAR,65.59
2023,March,BIOFUEL,28.91
2023,April,NUCLEAR,6195.72
2023,April,GAS,596.74
2023,April,HYDRO,3463.79
2023,April,WIND,1172.8
2023,April,SOLAR,75.42
2023,April,BIOFUEL,11.53
2023,May,NUCLEAR,6433.5
2023,May,GAS,733.66
2023,May,HYDRO,3874.14
2023,May,WIND,748.59
2023,May,SOLAR,101.83
2023,May,BIOFUEL,16.91
2023,June,NUCLEAR,6342.35
2023,June,GAS,2019.68
2023,June,HYDRO,2865.68
2023,June,WIND,636.74
2023,June,SOLAR,86.96
2023,June,BIOFUEL,36.43
2023,July,NUCLEAR,6763.19
2023,July,GAS,2956.05
2023,July,HYDRO,2986.16
2023,July,WIND,473.23
2023,July,SOLAR,86.4
2023,July,BIOFUEL,54.05
2023,August,NUCLEAR,6977.79
2023,August,GAS,2223.94
2023,August,HYDRO,2671.82
2023,August,WIND,721.13
2023,August,SOLAR,82.3
2023,August,BIOFUEL,36.12
2023,September,NUCLEAR,6513.18
2023,September,GAS,1909.82
2023,September,HYDRO,2622.75
2023,September,WIND,571.34
2023,September,SOLAR,78.31
2023,September,BIOFUEL,29.93
2023,October,NUCLEAR,6577.93
2023,October,GAS,1279.77
2023,October,HYDRO,2843.28
2023,October,WIND,1189.29
2023,October,SOLAR,48.04
2023,October,BIOFUEL,21.84
2023,November,NUCLEAR,6484.62
2023,November,GAS,1913.46
2023,November,HYDRO,2897.02
2023,November,WIND,1505.12
2023,November,SOLAR,33.99
2023,November,BIOFUEL,17.52
2023,December,NUCLEAR,7047.69
2023,December,GAS,2161.56
2023,December,HYDRO,3301.49
2023,December,WIND,1169.19
2023,December,SOLAR,19.56
2023,December,BIOFUEL,35.38
2024,January,NUCLEAR,7379.46
2024,January,GAS,2585.74
2024,January,HYDRO,3468.99
2024,January,WIND,1344.23
2024,January,SOLAR,15.49
2024,January,BIOFUEL,33.94
2024,February,NUCLEAR,6345.49
2024,February,GAS,2152.5
2024,February,HYDRO,3004.69
2024,February,WIND,1271.1
2024,February,SOLAR,49.57
2024,February,BIOFUEL,35.69
2024,March,NUCLEAR,5914.37
2024,March,GAS,1871.96
2024,March,HYDRO,3186.71
2024,March,WIND,1504.1
2024,March,SOLAR,63.32
2024,March,BIOFUEL,31.53
2024,April,NUCLEAR,5120.03
2024,April,GAS,1430.47
2024,April,HYDRO,3393.93
2024,April,WIND,1434.06
2024,April,SOLAR,70.12
2024,April,BIOFUEL,8.93
2024,May,NUCLEAR,5339.88
2024,May,GAS,1711.42
2024,May,HYDRO,3804.86
2024,May,WIND,897.4
2024,May,SOLAR,89.58
2024,May,BIOFUEL,8.89
2024,June,NUCLEAR,6752.5
2024,June,GAS,1583.14
2024,June,HYDRO,3109.64
2024,June,WIND,897.37
2024,June,SOLAR,83.35
2024,June,BIOFUEL,20.31
2024,July,NUCLEAR,7526.97
2024,July,GAS,2872.83
2024,July,HYDRO,3256.63
2024,July,WIND,484.42
2024,July,SOLAR,91.14
2024,July,BIOFUEL,27.78
2024,August,NUCLEAR,7359.6
2024,August,GAS,2738.68
2024,August,HYDRO,2863.35
2024,August,WIND,604.42
2024,August,SOLAR,82.23
2024,August,BIOFUEL,47.2
2024,September,NUCLEAR,7151.17
2024,September,GAS,2263.23
2024,September,HYDRO,2607.47
2024,September,WIND,712.57
2024,September,SOLAR,78.57
2024,September,BIOFUEL,30.27
2024,October,NUCLEAR,6604.64
2024,October,GAS,1774.12
2024,October,HYDRO,2691.9
2024,October,WIND,1243.06
2024,October,SOLAR,68.02
2024,October,BIOFUEL,36.82
2024,November,NUCLEAR,6642.96
2024,November,GAS,1456.98
2024,November,HYDRO,3206.41
2024,November,WIND,1456.28
2024,November,SOLAR,34.97
2024,November,BIOFUEL,32.96
2024,December,NUCLEAR,7817.55
2024,December,GAS,2214.45
2024,December,HYDRO,3225.23
2024,December,WIND,1511.46
2024,December,SOLAR,19.72
2024,December,BIOFUEL,33.45
2025,January,NUCLEAR,7301.85
2025,January,GAS,2969.12
2025,January,HYDRO,3280.42
2025,January,WIND,1822.29
2025,January,SOLAR,29.19
2025,January,BIOFUEL,41.98
2025,February,NUCLEAR,5698.15
2025,February,GAS,3375.55
2025,February,HYDRO,2994.84
2025,February,WIND,1228.34
2025,February,SOLAR,24.1
2025,February,BIOFUEL,30.6
2025,March,NUCLEAR,6645.85
2025,March,GAS,1599.3
2025,March,HYDRO,3341.63
2025,March,WIND,1795.52
2025,March,SOLAR,65.38
2025,March,BIOFUEL,21.58
2025,April,NUCLEAR,6592.14
2025,April,GAS,1149.32
2025,April,HYDRO,3555.22
2025,April,WIND,1271.68
2025,April,SOLAR,76.28
2025,April,BIOFUEL,13.28
2025,May,NUCLEAR,7026.98
2025,May,GAS,852.13
2025,May,HYDRO,3926.92
2025,May,WIND,1018.8
2025,May,SOLAR,77.94
2025,May,BIOFUEL,24.03
2025,June,NUCLEAR,6801.17
2025,June,GAS,2071.21
2025,June,HYDRO,3518.85
2025,June,WIND,901.94
2025,June,SOLAR,87.12
2025,June,BIOFUEL,28.43
2025,July,NUCLEAR,6767.58
2025,July,GAS,3631.04
2025,July,HYDRO,3656.44
2025,July,WIND,558.1
2025,July,SOLAR,93.0
2025,July,BIOFUEL,44.29
2025,August,NUCLEAR,6927.95
2025,August,GAS,3275.19
2025,August,HYDRO,2864.18
2025,August,WIND,637.62
2025,August,SOLAR,88.53
2025,August,BIOFUEL,45.65
2025,September,NUCLEAR,6377.94
2025,September,GAS,2843.18
2025,September,HYDRO,2392.64
2025,September,WIND,509.37
2025,September,SOLAR,81.12
2025,September,BIOFUEL,30.96
2025,October,NUCLEAR,5825.08
2025,October,GAS,2985.96
2025,October,HYDRO,2388.25
2025,October,WIND,1130.62
2025,October,SOLAR,68.44
2025,October,BIOFUEL,21.58
2025,November,NUCLEAR,5598.24
2025,November,GAS,2839.98
2025,November,HYDRO,2682.7
2025,November,WIND,1546.83
2025,November,SOLAR,27.05
2025,November,BIOFUEL,31.33
2025,December,NUCLEAR,6714.25
2025,December,GAS,3788.15
2025,December,HYDRO,2815.36
2025,December,WIND,1709.08
2025,December,SOLAR,15.91
2025,December,BIOFUEL,23.8
2026,January,NUCLEAR,6875.04
2026,January,GAS,4020.34
2026,January,HYDRO,3059.5
2026,January,WIND,1715.0
2026,January,SOLAR,17.47
2026,January,BIOFUEL,41.86
2026,February,NUCLEAR,5713.47
2026,February,GAS,3841.8
2026,February,HYDRO,2760.87
2026,February,WIND,1096.76
2026,February,SOLAR,40.01
2026,February,BIOFUEL,39.81
2026,March,NUCLEAR,7052.06
2026,March,GAS,2556.93
2026,March,HYDRO,3221.69
2026,March,WIND,1512.63
2026,March,SOLAR,54.58
2026,March,BIOFUEL,48.25
2026,April,NUCLEAR,6165.95
2026,April,GAS,1772.84
2026,April,HYDRO,3623.08
2026,April,WIND,1308.11
2026,April,SOLAR,65.89
2026,April,BIOFUEL,22.37
